6   1,6   1,6   1,6   1,6   1,6   1,6   1,6   1,6   1,6   1,6   1,6   1,6   1,6   1
6   1,2,2,2,2,2,2,2,2,2,2,2,2,6   1
6   1,2,6,6,2,2,73''4Nausicaa,6,2,2,6,6,2,6   1
6   1,2,0   1,0   1,2,2,4   1,4   1,2,2,3   1,3   1,2,6   1
6   1,2,0   1,0   1,2,2,4   1,4   1,2,2,3   1,3   1,2,6   1
6   1,2,2,2,2,2,2,2,2,2,2,2,2,6   1
6   1,2,2,2,2,2,2,2,2,5   1,5   1,6,2,6   1
6   1,2,2,2,2,2,2,2,2,5   1,5   1,6,2,6   1
6   1,2,2   3,2,2,2,2,2,2,2,2,2,2,6   1
6   1,6   1,27--2house_west_hospital_1,27--2house_west_hospital_1,6   1,6   1,6   1,6   1,6   1,6   1,6   1,6   1,6   1,6   1
